varname,start,end
hrhhid,1,15
hrmonth,16,17
hryear4,18,21
hurespli,22,23
hufinal,24,26
hetenure,29,30
hehousut,31,32
hetelhhd,33,34
hetelavl,35,36
hephoneo,37,38
hefaminc,39,40
hutypea,41,42
hutypb,43,44
hutypc,45,46
hwhhwgt,47,56
hrintsta,57,58
hrnumhou,59,60
hrhtype,61,62
hrmis,63,64
huinttyp,65,66
huprscnt,67,68
hrlonglk,69,70
hrhhid2,71,75
hwhhwtln,76,77
hubus,79,80
hubusl1,81,82
hubusl2,83,84
hubusl3,85,86
hubusl4,87,88
gereg,89,90
gediv,91,91
gestfips,93,94
gtcbsa,96,100
gtco,101,103
gtcbsast,104,104
gtmetsta,105,105
gtindvpc,106,106
gtcbsasz,107,107
gtcsa,108,110
perrp,118,119
prtage,122,123
prtfage,124,124
pemaritl,125,126
pespouse,127,128
pesex,129,130
peafever,131,132
peafnow,135,136
peeduca,137,138
ptdtrace,139,140
prdthsp,141,142
puchinhh,143,144
pulineno,147,148
prfamnum,151,152
prfamrel,153,154
prfamtyp,155,156
pehspnon,157,158
prmarsta,159,160
prpertyp,161,162
penatvty,163,165
pemntvty,166,168
pefntvty,169,171
prcitshp,172,173
prcitflg,174,175
prinusyr,176,177
puslfprx,178,179
pemlr,180,181
puwk,182,183
pubus1,184,185
pubus2ot,186,187
pubusck1,188,189
pubusck2,190,191
pubusck3,192,193
pubusck4,194,195
puretot,196,197
pudis,198,199
peret1,200,201
pudis1,202,203
pudis2,204,205
puabsot,206,207
pulay,208,209
peabsrsn,210,211
peabspdo,212,213
pemjot,214,215
pemjnum,216,217
pehrusl1,218,219
pehrusl2,220,221
pehrftpt,222,223
pehruslt,224,226
pehrwant,227,228
pehrrsn1,229,230
pehrrsn2,231,232
pehrrsn3,233,234
puhroff1,235,236
puhroff2,237,238
puhrot1,239,240
puhrot2,241,242
pehract1,243,244
pehract2,245,246
pehractt,247,249
pehravl,250,251
puhrck1,257,258
puhrck2,259,260
puhrck3,261,262
puhrck4,263,264
puhrck5,265,266
puhrck6,267,268
puhrck7,269,270
puhrck12,271,272
pulaydt,273,274
pulay6m,275,276
pelayavl,277,278
pulayavr,279,280
pelaylk,281,282
pelaydur,283,285
pelayfto,286,287
pulayck1,288,289
pulayck2,290,291
pulayck3,292,293
pulk,294,295
pelkm1,296,297
pulkm2,298,299
pulkm3,300,301
pulkm4,302,303
pulkm5,304,305
pulkm6,306,307
pulkdk1,308,309
pulkdk2,310,311
pulkdk3,312,313
pulkdk4,314,315
pulkdk5,316,317
pulkdk6,318,319
pulkps1,320,321
pulkps2,322,323
pulkps3,324,325
pulkps4,326,327
pulkps5,328,329
pulkps6,330,331
pelkavl,332,333
pulkavr,334,335
pelkll1o,336,337
pelkll2o,338,339
pelklwo,340,341
pelkdur,342,344
pelkfto,345,346
pedwwnto,347,348
pedwrsn,349,350
pedwlko,351,352
pedwwk,353,354
pedw4wk,355,356
pedwlkwk,357,358
pedwavl,359,360
pedwavr,361,362
pudwck1,363,364
pudwck2,365,366
pudwck3,367,368
pudwck4,369,370
pudwck5,371,372
pejhwko,373,374
pujhdp1o,375,376
pejhrsn,377,378
pejhwant,379,380
pujhck1,381,382
pujhck2,383,384
prabsrea,385,386
prcivlf,387,388
prdisc,389,390
premphrs,391,392
prempnot,393,394
prexplf,395,396
prftlf,397,398
prhrusl,399,400
prjobsea,401,402
prpthrs,403,404
prptrea,405,406
prunedur,407,409
pruntype,412,413
prwksch,414,415
